,serial_number,countries,total_cases,new_cases,total_death,new_deaths,total_recovered,active_cases,serious_critical,total_cases_permn,total_deaths_permn,total_tests,total_test_permillion,total_pop
134,127,Malta,116280,+27,813,,"114,787",+14,680,4,"261,872","1,831","2,098,461","4,725,912"
71,64,Costa Rica,1161687,,"9,072",,"860,711",,"291,904",52,"224,162","1,751","4,659,757","899,158"
204,197,Caribbean Netherlands,11591,,37,,"10,476",,"1,078",,"434,983","1,389","30,126","1,130,559"
20,13,Vietnam,11524647,+211,"43,184",,"10,610,917",+86,"870,546",39,"116,465",436,"85,826,548","867,342"
72,65,Bolivia,1150207,+860,"22,284",+1,"1,097,786","+2,264","30,137",220,"95,909","1,858","2,705,422","225,590"
73,66,Tunisia,1147477,,"29,279",,N/A,N/A,N/A,44,"95,253","2,430","4,982,453","413,596"
74,67,Cuba,1111887,,"8,530",,"1,103,154",,203,23,"98,348",754,"14,268,594","1,262,076"
21,14,Australia,11080686,"+1,890","16,940",,"10,869,679",,"194,067",103,"425,056",650,"78,835,048","3,024,116"
205,198,Sint Maarten,10964,,89,,"10,873",,2,,"249,375","2,024","62,056","1,411,454"
135,128,Angola,104973,,"1,928",,"102,538",,507,,"2,997",55,"1,499,795","42,818"
136,129,Barbados,104944,,568,,"102,435",,"1,941",,"364,360","1,972","784,101","2,722,356"
75,68,UAE,1046668,,"2,348",,"1,028,935",,"15,385",,"103,818",233,"197,846,389","19,624,143"
76,69,Ecuador,1024914,,"35,940",,"982,239",,"6,735",759,"56,583","1,984","3,082,403","170,173"
8,1,USA,102247575,,"1,116,095",,"99,276,222",,"1,855,258","4,013","305,394","3,334","1,150,899,090","3,437,518"
77,70,Panama,1020961,,"8,554",,"1,005,646",,"6,761",16,"229,586","1,924","7,361,620","1,655,426"
206,199,Eritrea,10189,,103,,"10,086",,0,,"2,782",28,"23,693","6,470"
78,71,Uruguay,1011988,,"7,562",,"996,795",,"7,631",18,"289,469","2,163","6,114,822","1,749,083"
79,72,Mongolia,1007266,,"2,179",,"1,004,672","+12,772",415,192,"298,177",645,"4,030,048","1,193,000"
80,73,Nepal,1000975,+8,"12,019",,"988,940",+2,16,,"33,117",398,"5,988,372","198,123"
235,228,Western Sahara,10,,1,,9,,0,,16,2,,
